percentile,cutoff_noMID-noRETD-noHS,cutoff_noMID-noRETD,cutoff_base,percent_add_hs,percent_add_hs_add_retd_mid,dollars_add_hs,dollars_add_hs_add_retd_mid
5,8963,9389,9389,0.047528729,0,426,0
10,11576,12406,12411,0.071700069,0.000431928,830,5
15,14124,14924,14930,0.056641178,0.000424809,800,6
20,16422,17027,17041,0.036840823,0.000852515,605,14
25,18493,18992,19020,0.026983183,0.001514086,499,28
30,20649,21016,21062,0.017773258,0.002227711,367,46
35,22914,23141,23210,0.009906607,0.003011259,227,69
40,25395,25511,25603,0.004567828,0.00362276,116,92
45,28137,28178,28322,0.001457156,0.005117816,41,144
50,30901,30922,31154,0.00067959,0.007507848,21,232
55,33975,33980,34232,0.000147167,0.007417219,5,252
60,37345,37346,37631,2.67773E-05,0.007631544,1,285
65,40797,40799,41168,4.90232E-05,0.009044783,2,369
70,44580,44586,45044,0.00013459,0.010273665,6,458
75,49012,49012,49726,0,0.014567861,0,714
80,54578,54578,55418,0,0.015390817,0,840
85,61610,61610,62811,0,0.019493589,0,1201
90,72546,72546,74048,0,0.020704105,0,1502
95,93188,93188,95128,0,0.020818131,0,1940
